Frequency,Current
33400,0.000911947
33500,0.000925021
33600,0.000938419
33700,0.000952153
33800,0.000966237
33900,0.000980684
34000,0.000995507
34100,0.00101072
34200,0.00102634
34300,0.00104239
34400,0.00105887
34500,0.00107581
34600,0.00109323
34700,0.00111115
34800,0.00112958
34900,0.00114855
35000,0.00116809
35100,0.00118822
35200,0.00120896
35300,0.00123034
35400,0.00125239
35500,0.00127514
35600,0.00129863
35700,0.00132289
35800,0.00134795
35900,0.00137386
36000,0.00140065
36100,0.00142838
36200,0.00145708
36300,0.0014868
36400,0.00151761
36500,0.00154955
36600,0.00158268
36700,0.00161707
36800,0.00165278
36900,0.00168989
37000,0.00172847
37100,0.0017686
37200,0.00181037
37300,0.00185387
37400,0.0018992
37500,0.00194646
37600,0.00199575
37700,0.0020472
37800,0.00210093
37900,0.00215707
38000,0.00221574
38100,0.0022771
38200,0.00234128
38300,0.00240845
38400,0.00247875
38500,0.00255235
38600,0.0026294
38700,0.00271005
38800,0.00279446
38900,0.00288275
39000,0.00297503
39100,0.00307141
39200,0.00317191
39300,0.00327653
39400,0.00338519
39500,0.00349772
39600,0.00361384
39700,0.00373311
39800,0.00385493
39900,0.00397851
40000,0.00410282
40100,0.00422654
40200,0.00434814
40300,0.00446575
40400,0.00457731
40500,0.00468053
40600,0.00477302
40700,0.0048524
40800,0.00491644
40900,0.00496323
41000,0.00499135
41100,0.00499996
41200,0.0049889
41300,0.00495869
41400,0.00491051
41500,0.00484602
41600,0.00476732
41700,0.00467667
41800,0.00457645
41900,0.00446895
42000,0.0043563
42100,0.00424044
42200,0.00412302
42300,0.00400542
42400,0.00388879
42500,0.00377403
42600,0.00366182
42700,0.00355267
42800,0.00344695
42900,0.00334487
43000,0.00324659
43100,0.00315215
43200,0.00306155
43300,0.00297474
43400,0.00289163
43500,0.00281213
43600,0.00273609
43700,0.00266339
43800,0.00259389
43900,0.00252744
44000,0.00246389
44100,0.00240311
44200,0.00234495
44300,0.00228928
44400,0.00223598
44500,0.00218491
44600,0.00213597
44700,0.00208903
44800,0.002044
44900,0.00200077
45000,0.00195925
45100,0.00191935
45200,0.00188099
45300,0.00184408
45400,0.00180855
